,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
74,ES0 0,ES0 0 nuclear,nuclear,4084.4,0.0,14.01327116564417,0.883,const,0.0,,,,,0.0,,,
75,ES0 0,ES0 0 ror,ror,542.6047829135485,0.0,0.0,0.9,gen_ror_ES_1,0.0,,,,,0.0,,,
76,ES0 0,ES0 0 solar-hsat,solar,6691.071681771808,0.0,0.01,1.0,gen_sol_ES_2,0.0,,,,,0.0,,,
77,ES0 0,ES0 0 onwind,wind_on,22754.15457433541,0.0,0.015,1.0,gen_wind_ES_3,0.0,,,,,0.0,,,
78,ES2 0,ES2 0 PHS,PHS,873.4038226756475,0.0,0.0,0.0,const,37978.43424934867,1.0,const,const,0.67,873.4038226756475,0.8660254037844386,1.5,
79,ES2 0,ES2 0 biomass,RES_other,36.14634146341463,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
80,ES2 0,ES2 0 CCGT,fossil_gas,9932.255992350389,0.0,58.35798142483742,1.0,const,0.0,,,,,0.0,,,
81,ES2 0,ES2 0 coal,fossil_other,996.6237426943884,0.0,94.86859632034631,1.0,const,0.0,,,,,0.0,,,
82,ES2 0,ES2 0 hydro,hydro,1671.0715055063574,0.0,0.0,0.9,inflow_ES_1,1133099.1417362553,1.0,const,const,0.67,0.0,0.0,0.0,
83,ES2 0,ES2 0 nuclear,nuclear,3032.8,0.0,14.01327116564417,0.883,const,0.0,,,,,0.0,,,
84,ES2 0,ES2 0 ror,ror,613.5952170864515,0.0,0.0,0.9,gen_ror_ES_1,0.0,,,,,0.0,,,
85,ES2 0,ES2 0 solar-hsat,solar,60.02831822819264,0.0,0.01,1.0,gen_sol_ES_4,0.0,,,,,0.0,,,
86,ES2 0,ES2 0 onwind,wind_on,206.44542566458625,0.0,0.015,1.0,gen_wind_ES_7,0.0,,,,,0.0,,,
87,FI1 0,FI1 0 biomass,RES_other,1804.0,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
88,FI1 0,FI1 0 CCGT,fossil_gas,1912.0,0.0,44.04309397690735,1.0,const,0.0,,,,,0.0,,,
89,FI1 0,FI1 0 coal,fossil_other,3712.0,0.0,94.86859632034631,1.0,const,0.0,,,,,0.0,,,
90,FI1 0,FI1 0 hydro,hydro,1171.0,0.0,0.0,0.9,inflow_FI_1,5500000.0,1.0,const,const,0.67,0.0,0.0,0.0,
91,FI1 0,FI1 0 nuclear,nuclear,2785.0,0.0,14.01327116564417,0.924,const,0.0,,,,,0.0,,,
92,FI1 0,FI1 0 ror,ror,3147.9999999999995,0.0,0.0,0.9,gen_ror_FI_1,0.0,,,,,0.0,,,
93,FI1 0,FI1 0 offwind-dc,wind_off,73.0,0.0,0.015,1.0,gen_wind_FI_2,0.0,,,,,0.0,,,
94,FI1 0,FI1 0 onwind,wind_on,2013.0,0.0,0.015,1.0,gen_wind_FI_4,0.0,,,,,0.0,,,
