,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
124,GB3 0,GB3 0 ror,ror,1142.181929,0,0,0.9,gen_ror_GB_1,0,,,,,0,,
125,GB3 0,GB3 0 solar-hsat,solar,12624.63972,0,0.01,1,gen_sol_GB_2,0,,,,,0,,
126,GB3 0,GB3 0 offwind-dc,wind_off,9354.958917,0,0.015,1,gen_wind_GB_2,0,,,,,0,,
127,GB3 0,GB3 0 onwind,wind_on,6979.218446,0,0.015,1,gen_wind_GB_4,0,,,,,0,,
128,GB4 0,GB4 0 PHS,PHS,2744,0,0,0,const,43654.54545,1,const,const,0.67,2744,0.866025404,1.5
129,GB4 0,GB4 0 biomass,RES_other,134.9520489,0,15.82820513,1,const,0,,,,,0,,
130,GB4 0,GB4 0 CCGT,fossil_gas,4021.556918,0,46.80312069,1,const,0,,,,,0,,
131,GB4 0,GB4 0 coal,fossil_other,786.568268,0,32.21332121,1,const,0,,,,,0,,
132,GB4 0,GB4 0 hydro,hydro,160.5,0,0,0.9,inflow_GB_1,144920.9932,1,const,const,0.67,0,0,0
133,GB4 0,GB4 0 ror,ror,742.8180712,0,0,0.9,gen_ror_GB_1,0,,,,,0,,
134,GB4 0,GB4 0 solar-hsat,solar,813.7802834,0,0.01,1,gen_sol_GB_4,0,,,,,0,,
135,GB4 0,GB4 0 offwind-dc,wind_off,24.04108336,0,0.015,1,gen_wind_GB_6,0,,,,,0,,
136,GB4 0,GB4 0 onwind,wind_on,6654.031554,0,0.015,1,gen_wind_GB_8,0,,,,,0,,
137,GR0 0,GR0 0 PHS,PHS,699,0,0,0,const,5140,1,const,const,0.67,699,0.866025404,1.5
138,GR0 0,GR0 0 CCGT,fossil_gas,4902,0,48.06545619,1,const,0,,,,,0,,
139,GR0 0,GR0 0 lignite,fossil_other,3912,0,13.25665455,1,const,0,,,,,0,,
140,GR0 0,GR0 0 hydro,hydro,2403,0,0,0.9,inflow_GR_1,436778.0633,1,const,const,0.67,0,0,0
141,GR0 0,GR0 0 ror,ror,299,0,0,0.9,gen_ror_GR_1,0,,,,,0,,
142,GR0 0,GR0 0 solar-hsat,solar,2441,0,0.01,1,gen_sol_GR_2,0,,,,,0,,
144,GR0 0,GR0 0 onwind,wind_on,2355,0,0.015,1,gen_wind_GR_4,0,,,,,0,,
145,HR0 0,HR0 0 PHS,PHS,283,0,0,0,const,14823.30874,1,const,const,0.67,283,0.866025404,1.5
146,HR0 0,HR0 0 CCGT,fossil_gas,743,0,46.80312069,1,const,0,,,,,0,,
147,HR0 0,HR0 0 hydro,hydro,1436,0,0,0.9,inflow_HR_1,2768374.867,1,const,const,0.67,0,0,0
148,HR0 0,HR0 0 ror,ror,421,0,0,0.9,gen_ror_HR_1,0,,,,,0,,
149,HR0 0,HR0 0 solar-hsat,solar,53,0,0.01,1,gen_sol_HR_2,0,,,,,0,,
151,HR0 0,HR0 0 onwind,wind_on,616,0,0.015,1,gen_wind_HR_4,0,,,,,0,,
152,HU0 0,HU0 0 biomass,RES_other,245.95,0,15.82820513,1,const,0,,,,,0,,
153,HU0 0,HU0 0 CCGT,fossil_gas,4028.43,0,46.65563941,1,const,0,,,,,0,,
154,HU0 0,HU0 0 coal,fossil_other,1700.414239,0,67.66461573,1,const,0,,,,,0,,
155,HU0 0,HU0 0 hydro,hydro,28.16,0,0,0.9,inflow_HU_1,201142.8571,1,const,const,0.67,0,0,0
156,HU0 0,HU0 0 nuclear,nuclear,1898.87,0,14.01327117,0.891,const,0,,,,,0,,
157,HU0 0,HU0 0 ror,ror,29.65,0,0,0.9,gen_ror_HU_1,0,,,,,0,,
158,HU0 0,HU0 0 solar-hsat,solar,936.25,0,0.01,1,gen_sol_HU_2,0,,,,,0,,
159,HU0 0,HU0 0 onwind,wind_on,327.48,0,0.015,1,gen_wind_HU_1,0,,,,,0,,
160,IE4 0,IE4 0 PHS,PHS,292,0,0,0,const,1800,1,const,const,0.67,292,0.866025404,1.5
161,IE4 0,IE4 0 biomass,RES_other,68,0,15.82820513,1,const,0,,,,,0,,
162,IE4 0,IE4 0 CCGT,fossil_gas,4265,0,54.55488273,1,const,0,,,,,0,,
163,IE4 0,IE4 0 coal,fossil_other,2380,0,67.66461573,1,const,0,,,,,0,,
165,IE4 0,IE4 0 ror,ror,216,0,0,0.9,gen_ror_IE_1,0,,,,,0,,
166,IE4 0,IE4 0 solar-hsat,solar,96.188,0,0.01,1,gen_sol_IE_2,0,,,,,0,,
167,IE4 0,IE4 0 offwind-dc,wind_off,25.2,0,0.015,1,gen_wind_IE_2,0,,,,,0,,
168,IE4 0,IE4 0 onwind,wind_on,1918.73,0,0.015,1,gen_wind_IE_4,0,,,,,0,,
169,IT0 0,IT0 0 PHS,PHS,6753.77258,0,0,0,const,377958.9089,1,const,const,0.67,6753.77258,0.866025404,1.5
170,IT0 0,IT0 0 biomass,RES_other,2333.933333,0,7.914102564,1,const,0,,,,,0,,
171,IT0 0,IT0 0 CCGT,fossil_gas,41127.46748,0,54.09762204,1,const,0,,,,,0,,
172,IT0 0,IT0 0 coal,fossil_other,5624.544602,0,32.21332121,1,const,0,,,,,0,,
173,IT0 0,IT0 0 hydro,hydro,3763.213884,0,0,0.9,inflow_IT_1,7087200.744,1,const,const,0.67,0,0,0
174,IT0 0,IT0 0 ror,ror,10510.64353,0,0,0.9,gen_ror_IT_1,0,,,,,0,,
175,IT0 0,IT0 0 solar-hsat,solar,4486.154907,0,0.01,1,gen_sol_IT_2,0,,,,,0,,
177,IT0 0,IT0 0 onwind,wind_on,8492.368806,0,0.015,1,gen_wind_IT_4,0,,,,,0,,
178,IT5 0,IT5 0 PHS,PHS,820.2274198,0,0,0,const,13533.501,1,const,const,0.67,820.2274198,0.866025404,1.5
179,IT5 0,IT5 0 biomass,RES_other,205.0666667,0,15.82820513,1,const,0,,,,,0,,
180,IT5 0,IT5 0 CCGT,fossil_gas,5194.532516,0,46.80312069,1,const,0,,,,,0,,
181,IT5 0,IT5 0 coal,fossil_other,2481.455398,0,94.86859632,1,const,0,,,,,0,,
182,IT5 0,IT5 0 hydro,hydro,93.78611614,0,0,0.9,inflow_IT_1,176625.8981,1,const,const,0.67,0,0,0
183,IT5 0,IT5 0 ror,ror,139.3564665,0,0,0.9,gen_ror_IT_1,0,,,,,0,,
184,IT5 0,IT5 0 solar-hsat,solar,230.8450932,0,0.01,1,gen_sol_IT_4,0,,,,,0,,
186,IT5 0,IT5 0 onwind,wind_on,1124.631194,0,0.015,1,gen_wind_IT_7,0,,,,,0,,
187,LT0 0,LT0 0 PHS,PHS,900,0,0,0,const,10800,1,const,const,0.67,900,0.866025404,1.5
188,LT0 0,LT0 0 biomass,RES_other,96,0,15.82820513,1,const,0,,,,,0,,
189,LT0 0,LT0 0 CCGT,fossil_gas,1710,0,46.80312069,1,const,0,,,,,0,,
190,LT0 0,LT0 0 ror,ror,128,0,0,0.9,gen_ror_LT_1,0,,,,,0,,
191,LT0 0,LT0 0 solar-hsat,solar,82,0,0.01,1,gen_sol_LT_2,0,,,,,0,,
193,LT0 0,LT0 0 onwind,wind_on,525,0,0.015,1,gen_wind_LT_4,0,,,,,0,,
194,LU0 0,LU0 0 PHS,PHS,2585,0,0,0,const,15510,1,const,const,0.67,2585,0.866025404,1.5
195,LU0 0,LU0 0 solar-hsat,solar,136,0,0.01,1,gen_sol_LU_2,0,,,,,0,,
196,LU0 0,LU0 0 onwind,wind_on,154,0,0.015,1,gen_wind_LU_1,0,,,,,0,,
197,LV0 0,LV0 0 CCGT,fossil_gas,1110,0,46.80312069,1,const,0,,,,,0,,
198,LV0 0,LV0 0 ror,ror,1539,0,0,0.9,gen_ror_LV_1,0,,,,,0,,
201,LV0 0,LV0 0 onwind,wind_on,59,0,0.015,1,gen_wind_LV_4,0,,,,,0,,
202,ME0 0,ME0 0 PHS,PHS,307,0,0,0,const,1842,1,const,const,0.67,307,0.866025404,1.5
203,ME0 0,ME0 0 lignite,fossil_other,210,0,13.25665455,1,const,0,,,,,0,,
204,ME0 0,ME0 0 hydro,hydro,342,0,0,0.9,inflow_ME_1,2869.159122,1,const,const,0.67,0,0,0
205,ME0 0,ME0 0 ror,ror,307,0,0,0.9,gen_ror_ME_1,0,,,,,0,,
208,ME0 0,ME0 0 onwind,wind_on,118,0,0.015,1,gen_wind_ME_3,0,,,,,0,,
209,MK0 0,MK0 0 CCGT,fossil_gas,251,0,46.80312069,1,const,0,,,,,0,,
210,MK0 0,MK0 0 lignite,fossil_other,824,0,13.25665455,1,const,0,,,,,0,,
211,MK0 0,MK0 0 hydro,hydro,506,0,0,0.9,inflow_MK_1,3036,1,const,const,0.67,0,0,0
212,MK0 0,MK0 0 ror,ror,191.6,0,0,0.9,gen_ror_MK_1,0,,,,,0,,
213,MK0 0,MK0 0 solar-hsat,solar,16.713,0,0.01,1,gen_sol_MK_2,0,,,,,0,,
214,MK0 0,MK0 0 onwind,wind_on,35,0,0.015,1,gen_wind_MK_1,0,,,,,0,,
215,NL0 0,NL0 0 biomass,RES_other,485,0,15.82820513,1,const,0,,,,,0,,
216,NL0 0,NL0 0 CCGT,fossil_gas,15570,0,57.18456256,1,const,0,,,,,0,,
217,NL0 0,NL0 0 coal,fossil_other,4631,0,32.21332121,1,const,0,,,,,0,,
218,NL0 0,NL0 0 solar-hsat,solar,4608,0,0.01,1,gen_sol_NL_2,0,,,,,0,,
219,NL0 0,NL0 0 offwind-dc,wind_off,957,0,0.015,1,gen_wind_NL_2,0,,,,,0,,
220,NL0 0,NL0 0 onwind,wind_on,3436,0,0.015,1,gen_wind_NL_4,0,,,,,0,,
221,NO1 0,NO1 0 PHS,PHS,1031.3,0,0,0,const,2477169.835,1,const,const,0.67,1031.3,0.866025404,1.5
222,NO1 0,NO1 0 CCGT,fossil_gas,634.6,0,46.80312069,1,const,0,,,,,0,,
223,NO1 0,NO1 0 hydro,hydro,26472.27,0,0,0.9,inflow_NO_1,34907130.62,1,const,const,0.67,0,0,0
