,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
40,CH0 0,CH0 0 nuclear,nuclear,3373,0,14.01327117,0.834,const,0,,,,,0,,
41,CH0 0,CH0 0 ror,ror,634.5,0,0,0.9,gen_ror_CH_1,0,,,,,0,,
42,CH0 0,CH0 0 solar-hsat,solar,2498,0,0.01,1,gen_sol_CH_2,0,,,,,0,,
43,CH0 0,CH0 0 onwind,wind_on,75,0,0.015,1,gen_wind_CH_1,0,,,,,0,,
44,CZ0 0,CZ0 0 coal,fossil_other,10030,0,22.73498788,1,const,0,,,,,0,,
45,CZ0 0,CZ0 0 solar-hsat,solar,2049,0,0.01,1,gen_sol_CZ_2,0,,,,,0,,
46,CZ0 0,CZ0 0 onwind,wind_on,316,0,0.015,1,gen_wind_CZ_1,0,,,,,0,,
47,DE0 0,DE0 0 PHS,PHS,9422,0,0,0,const,46471.15338,1,const,const,0.67,9422,0.866025404,1.5
48,DE0 0,DE0 0 biomass,RES_other,7752.13,0,15.82820513,1,const,0,,,,,0,,
49,DE0 0,DE0 0 CCGT,fossil_gas,31664,0,55.60429203,1,const,0,,,,,0,,
50,DE0 0,DE0 0 coal,fossil_other,50854,0,63.57926544,1,const,0,,,,,0,,
51,DE0 0,DE0 0 hydro,hydro,1298,0,0,0.9,inflow_DE_1,1345077.72,1,const,const,0.67,0,0,0
52,DE0 0,DE0 0 nuclear,nuclear,9516,0,13.8864,0.926,const,0,,,,,0,,
53,DE0 0,DE0 0 ror,ror,3982.92,0,0,0.9,gen_ror_DE_1,0,,,,,0,,
54,DE0 0,DE0 0 solar-hsat,solar,45298.98,0,0.01,1,gen_sol_DE_2,0,,,,,0,,
55,DE0 0,DE0 0 offwind-dc,wind_off,6393,0,0.015,1,gen_wind_DE_2,0,,,,,0,,
56,DE0 0,DE0 0 onwind,wind_on,52791.63,0,0.015,1,gen_wind_DE_4,0,,,,,0,,
57,DK0 0,DK0 0 biomass,RES_other,1438.153846,0,15.82820513,1,const,0,,,,,0,,
58,DK0 0,DK0 0 CCGT,fossil_gas,677.3012234,0,50.73735791,1,const,0,,,,,0,,
59,DK0 0,DK0 0 coal,fossil_other,2155.134992,0,32.21332121,1,const,0,,,,,0,,
60,DK0 0,DK0 0 solar-hsat,solar,781.6342273,0,0.01,1,gen_sol_DK_2,0,,,,,0,,
61,DK0 0,DK0 0 offwind-dc,wind_off,856.3969897,0,0.015,1,gen_wind_DK_2,0,,,,,0,,
62,DK0 0,DK0 0 onwind,wind_on,3665.867186,0,0.015,1,gen_wind_DK_4,0,,,,,0,,
