week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,const
1.66,1.55,1.47,1.35,1.21,1.0,0.95,0.92,0.88,0.84,0.82,0.79,0.77,0.75,0.74,0.72,0.72,0.74,0.78,0.82,0.89,0.97,1.21,1.44,1.55,1.73,1.82,1.86,1.92,1.94,2.01,2.05,2.07,2.07,2.07,2.08,2.12,2.08,2.08,2.12,2.12,2.08,2.12,2.12,2.07,2.05,2.01,1.96,1.92,1.86,1.77,1.7,1
1.61,1.51,1.43,1.3,1.16,0.98,0.93,0.9,0.86,0.83,0.8,0.78,0.76,0.74,0.72,0.71,0.71,0.72,0.77,0.8,0.88,0.95,1.16,1.39,1.51,1.69,1.78,1.82,1.88,1.9,1.98,2.01,2.03,2.03,2.03,2.04,2.08,2.04,2.04,2.08,2.08,2.04,2.08,2.08,2.03,2.01,1.98,1.92,1.88,1.82,1.73,1.66,1
1.57,1.46,1.38,1.25,1.11,0.96,0.92,0.89,0.85,0.81,0.79,0.76,0.74,0.73,0.71,0.7,0.7,0.71,0.76,0.79,0.86,0.93,1.11,1.34,1.46,1.64,1.74,1.78,1.84,1.86,1.94,1.98,1.99,1.99,1.99,2.01,2.04,2.01,2.01,2.04,2.04,2.01,2.04,2.04,1.99,1.98,1.94,1.88,1.84,1.78,1.69,1.61,1
1.53,1.42,1.33,1.2,1.05,0.95,0.9,0.87,0.83,0.8,0.78,0.75,0.73,0.71,0.7,0.69,0.69,0.7,0.74,0.78,0.85,0.92,1.05,1.29,1.42,1.6,1.7,1.74,1.8,1.82,1.9,1.94,1.96,1.96,1.96,1.97,2.01,1.97,1.97,2.01,2.01,1.97,2.01,2.01,1.96,1.94,1.9,1.84,1.8,1.74,1.64,1.57,1
1.48,1.37,1.28,1.15,1.0,0.93,0.88,0.86,0.82,0.79,0.76,0.74,0.72,0.7,0.69,0.68,0.68,0.69,0.73,0.76,0.83,0.9,1.0,1.24,1.37,1.56,1.65,1.7,1.76,1.78,1.86,1.9,1.92,1.92,1.92,1.94,1.97,1.94,1.94,1.97,1.97,1.94,1.97,1.97,1.92,1.9,1.86,1.8,1.76,1.7,1.6,1.53,1
1.44,1.32,1.24,1.1,0.98,0.91,0.87,0.84,0.8,0.77,0.75,0.72,0.7,0.69,0.68,0.66,0.66,0.68,0.72,0.75,0.82,0.88,0.98,1.19,1.32,1.51,1.61,1.65,1.72,1.74,1.82,1.86,1.88,1.88,1.88,1.9,1.94,1.9,1.9,1.94,1.94,1.9,1.94,1.94,1.88,1.86,1.82,1.77,1.72,1.65,1.56,1.48,1
1.4,1.28,1.19,1.05,0.96,0.89,0.85,0.82,0.79,0.76,0.73,0.71,0.69,0.68,0.66,0.65,0.65,0.66,0.7,0.73,0.8,0.87,0.96,1.15,1.28,1.47,1.57,1.61,1.68,1.7,1.79,1.82,1.84,1.84,1.84,1.86,1.9,1.86,1.86,1.9,1.9,1.86,1.9,1.9,1.84,1.82,1.79,1.73,1.68,1.61,1.51,1.44,1
1.35,1.23,1.14,1.0,0.94,0.88,0.83,0.81,0.77,0.74,0.72,0.7,0.68,0.66,0.65,0.64,0.64,0.65,0.69,0.72,0.79,0.85,0.94,1.1,1.23,1.43,1.53,1.57,1.64,1.67,1.75,1.79,1.81,1.81,1.81,1.83,1.86,1.83,1.83,1.86,1.86,1.83,1.86,1.86,1.81,1.79,1.75,1.69,1.64,1.57,1.47,1.4,1
1.31,1.18,1.09,0.98,0.92,0.86,0.82,0.79,0.76,0.73,0.71,0.68,0.66,0.65,0.64,0.63,0.63,0.64,0.68,0.71,0.77,0.83,0.92,1.05,1.18,1.39,1.49,1.53,1.6,1.63,1.71,1.75,1.77,1.77,1.77,1.79,1.83,1.79,1.79,1.83,1.83,1.79,1.83,1.83,1.77,1.75,1.71,1.65,1.6,1.53,1.43,1.35,1
1.26,1.14,1.05,0.96,0.9,0.84,0.8,0.78,0.74,0.71,0.69,0.67,0.65,0.64,0.63,0.62,0.62,0.63,0.66,0.69,0.76,0.82,0.9,1.0,1.14,1.34,1.45,1.49,1.56,1.59,1.67,1.71,1.73,1.73,1.73,1.76,1.79,1.76,1.76,1.79,1.79,1.76,1.79,1.79,1.73,1.71,1.67,1.61,1.56,1.49,1.39,1.31,1
1.22,1.09,1.0,0.94,0.89,0.82,0.78,0.76,0.73,0.7,0.68,0.66,0.64,0.63,0.62,0.61,0.61,0.62,0.65,0.68,0.74,0.8,0.89,0.98,1.09,1.3,1.41,1.45,1.52,1.55,1.64,1.67,1.7,1.7,1.7,1.72,1.76,1.72,1.72,1.76,1.76,1.72,1.76,1.76,1.7,1.67,1.64,1.57,1.52,1.45,1.34,1.26,1
1.18,1.05,0.98,0.92,0.87,0.81,0.77,0.74,0.71,0.69,0.66,0.65,0.63,0.62,0.61,0.59,0.59,0.61,0.64,0.66,0.73,0.78,0.87,0.96,1.05,1.26,1.37,1.41,1.48,1.51,1.6,1.64,1.66,1.66,1.66,1.68,1.72,1.68,1.68,1.72,1.72,1.68,1.72,1.72,1.66,1.64,1.6,1.54,1.48,1.41,1.3,1.22,1
1.13,1.0,0.96,0.9,0.85,0.79,0.75,0.73,0.7,0.67,0.65,0.63,0.61,0.6,0.59,0.58,0.58,0.59,0.63,0.65,0.71,0.77,0.85,0.94,1.0,1.21,1.33,1.37,1.44,1.47,1.56,1.6,1.62,1.62,1.62,1.65,1.68,1.65,1.65,1.68,1.68,1.65,1.68,1.68,1.62,1.6,1.56,1.5,1.44,1.37,1.26,1.18,1
1.09,0.98,0.93,0.87,0.83,0.77,0.73,0.71,0.68,0.66,0.64,0.62,0.6,0.59,0.58,0.57,0.57,0.58,0.61,0.64,0.7,0.75,0.83,0.91,0.98,1.17,1.29,1.33,1.4,1.43,1.52,1.56,1.59,1.59,1.59,1.61,1.65,1.61,1.61,1.65,1.65,1.61,1.65,1.65,1.59,1.56,1.52,1.46,1.4,1.33,1.21,1.13,1
1.04,0.95,0.91,0.85,0.81,0.75,0.72,0.7,0.66,0.64,0.62,0.61,0.59,0.58,0.57,0.56,0.56,0.57,0.6,0.62,0.68,0.73,0.81,0.89,0.95,1.13,1.25,1.29,1.36,1.39,1.49,1.52,1.55,1.55,1.55,1.58,1.61,1.58,1.58,1.61,1.61,1.58,1.61,1.61,1.55,1.52,1.49,1.42,1.36,1.29,1.17,1.09,1
1.0,0.93,0.89,0.83,0.79,0.74,0.7,0.68,0.65,0.63,0.61,0.59,0.57,0.57,0.56,0.55,0.55,0.56,0.59,0.61,0.66,0.72,0.79,0.87,0.93,1.09,1.2,1.25,1.32,1.35,1.45,1.49,1.51,1.51,1.51,1.54,1.58,1.54,1.54,1.58,1.58,1.54,1.58,1.58,1.51,1.49,1.45,1.38,1.32,1.25,1.13,1.04,1
0.97,0.9,0.87,0.81,0.77,0.72,0.68,0.66,0.63,0.62,0.6,0.58,0.56,0.55,0.55,0.53,0.53,0.55,0.57,0.6,0.65,0.7,0.77,0.85,0.9,1.04,1.16,1.2,1.28,1.31,1.41,1.45,1.48,1.48,1.48,1.5,1.54,1.5,1.5,1.54,1.54,1.5,1.54,1.54,1.48,1.45,1.41,1.34,1.28,1.2,1.09,1.0,1
0.95,0.88,0.84,0.79,0.75,0.7,0.66,0.65,0.62,0.6,0.58,0.57,0.55,0.54,0.53,0.52,0.52,0.53,0.56,0.58,0.63,0.68,0.75,0.83,0.88,1.0,1.12,1.16,1.24,1.27,1.37,1.41,1.44,1.44,1.44,1.47,1.5,1.47,1.47,1.5,1.5,1.47,1.5,1.5,1.44,1.41,1.37,1.31,1.24,1.16,1.04,0.97,1
0.92,0.86,0.82,0.77,0.73,0.68,0.65,0.63,0.6,0.59,0.57,0.55,0.54,0.53,0.52,0.51,0.51,0.52,0.55,0.57,0.62,0.66,0.73,0.81,0.86,0.97,1.08,1.12,1.2,1.23,1.34,1.37,1.4,1.4,1.4,1.43,1.47,1.43,1.43,1.47,1.47,1.43,1.47,1.47,1.4,1.37,1.34,1.27,1.2,1.12,1.0,0.95,1
0.9,0.83,0.8,0.75,0.71,0.66,0.63,0.62,0.59,0.57,0.55,0.54,0.52,0.52,0.51,0.5,0.5,0.51,0.54,0.55,0.6,0.65,0.71,0.78,0.83,0.94,1.04,1.08,1.16,1.2,1.3,1.34,1.37,1.37,1.37,1.4,1.43,1.4,1.4,1.43,1.43,1.4,1.43,1.43,1.37,1.34,1.3,1.23,1.16,1.08,0.97,0.92,1
0.87,0.81,0.78,0.73,0.69,0.65,0.61,0.6,0.57,0.56,0.54,0.53,0.51,0.5,0.5,0.49,0.49,0.5,0.52,0.54,0.59,0.63,0.69,0.76,0.81,0.92,1.0,1.04,1.12,1.16,1.26,1.3,1.33,1.33,1.33,1.36,1.4,1.36,1.36,1.4,1.4,1.36,1.4,1.4,1.33,1.3,1.26,1.19,1.12,1.04,0.94,0.89,1
0.85,0.78,0.75,0.71,0.67,0.63,0.6,0.59,0.56,0.54,0.53,0.51,0.5,0.49,0.49,0.47,0.47,0.49,0.51,0.53,0.57,0.61,0.67,0.74,0.78,0.89,0.97,1.0,1.08,1.12,1.22,1.26,1.29,1.29,1.29,1.32,1.36,1.32,1.32,1.36,1.36,1.32,1.36,1.36,1.29,1.26,1.22,1.15,1.08,1.0,0.92,0.87,1
0.82,0.76,0.73,0.69,0.66,0.61,0.58,0.57,0.54,0.53,0.51,0.5,0.48,0.48,0.47,0.46,0.46,0.47,0.5,0.51,0.56,0.6,0.66,0.72,0.76,0.86,0.94,0.97,1.04,1.08,1.19,1.22,1.26,1.26,1.26,1.29,1.32,1.29,1.29,1.32,1.32,1.29,1.32,1.32,1.26,1.22,1.19,1.11,1.04,0.97,0.89,0.84,1
0.79,0.74,0.71,0.66,0.64,0.59,0.56,0.55,0.53,0.52,0.5,0.49,0.47,0.47,0.46,0.45,0.45,0.46,0.48,0.5,0.54,0.58,0.64,0.7,0.74,0.83,0.91,0.94,1.0,1.04,1.15,1.19,1.22,1.22,1.22,1.25,1.29,1.25,1.25,1.29,1.29,1.25,1.29,1.29,1.22,1.19,1.15,1.08,1.0,0.94,0.86,0.81,1
0.77,0.71,0.69,0.64,0.62,0.58,0.55,0.54,0.51,0.5,0.48,0.47,0.46,0.45,0.45,0.44,0.44,0.45,0.47,0.48,0.53,0.56,0.62,0.68,0.71,0.8,0.88,0.9,0.97,1.0,1.11,1.15,1.18,1.18,1.18,1.22,1.25,1.22,1.22,1.25,1.25,1.22,1.25,1.25,1.18,1.15,1.11,1.04,0.97,0.9,0.83,0.79,1
0.74,0.69,0.66,0.62,0.6,0.56,0.53,0.52,0.5,0.49,0.47,0.46,0.45,0.44,0.44,0.43,0.43,0.44,0.46,0.47,0.51,0.55,0.6,0.65,0.69,0.78,0.85,0.87,0.93,0.96,1.08,1.11,1.15,1.15,1.15,1.18,1.22,1.18,1.18,1.22,1.22,1.18,1.22,1.22,1.15,1.11,1.08,1.0,0.93,0.87,0.8,0.76,1
0.72,0.66,0.64,0.6,0.58,0.54,0.51,0.51,0.48,0.47,0.46,0.45,0.43,0.43,0.43,0.41,0.41,0.43,0.45,0.46,0.5,0.53,0.58,0.63,0.66,0.75,0.82,0.84,0.9,0.93,1.04,1.07,1.11,1.11,1.11,1.14,1.18,1.14,1.14,1.18,1.18,1.14,1.18,1.18,1.11,1.07,1.04,0.96,0.9,0.84,0.78,0.73,1
0.69,0.64,0.62,0.58,0.56,0.52,0.5,0.49,0.47,0.46,0.44,0.44,0.42,0.42,0.41,0.4,0.4,0.41,0.43,0.44,0.48,0.51,0.56,0.61,0.64,0.72,0.79,0.81,0.87,0.89,1.0,1.04,1.07,1.07,1.07,1.11,1.14,1.11,1.11,1.14,1.14,1.11,1.14,1.14,1.07,1.04,1.0,0.93,0.87,0.81,0.75,0.71,1
0.66,0.62,0.6,0.56,0.54,0.51,0.48,0.47,0.45,0.44,0.43,0.42,0.41,0.4,0.4,0.39,0.39,0.4,0.42,0.43,0.47,0.5,0.54,0.59,0.62,0.69,0.76,0.78,0.83,0.86,0.96,1.0,1.04,1.04,1.04,1.07,1.11,1.07,1.07,1.11,1.11,1.07,1.11,1.11,1.04,1.0,0.96,0.89,0.83,0.78,0.72,0.68,1
0.64,0.59,0.58,0.54,0.52,0.49,0.46,0.46,0.44,0.43,0.41,0.41,0.39,0.39,0.39,0.38,0.38,0.39,0.41,0.41,0.45,0.48,0.52,0.57,0.59,0.66,0.73,0.74,0.8,0.82,0.92,0.96,1.0,1.0,1.0,1.04,1.07,1.04,1.04,1.07,1.07,1.04,1.07,1.07,1.0,0.96,0.92,0.85,0.8,0.74,0.69,0.65,1
0.61,0.57,0.55,0.52,0.5,0.47,0.45,0.44,0.42,0.42,0.4,0.4,0.38,0.38,0.38,0.37,0.37,0.38,0.39,0.4,0.44,0.46,0.5,0.55,0.57,0.64,0.7,0.71,0.77,0.79,0.87,0.92,0.96,0.96,0.96,1.0,1.04,1.0,1.0,1.04,1.04,1.0,1.04,1.04,0.96,0.92,0.87,0.81,0.77,0.71,0.66,0.62,1
0.59,0.55,0.53,0.5,0.48,0.45,0.43,0.43,0.41,0.4,0.39,0.38,0.37,0.37,0.37,0.35,0.35,0.37,0.38,0.39,0.42,0.45,0.48,0.52,0.55,0.61,0.66,0.68,0.73,0.75,0.83,0.87,0.91,0.91,0.91,0.95,1.0,0.95,0.95,1.0,1.0,0.95,1.0,1.0,0.91,0.87,0.83,0.78,0.73,0.68,0.64,0.6,1
0.56,0.52,0.51,0.48,0.46,0.44,0.41,0.41,0.39,0.39,0.37,0.37,0.36,0.35,0.35,0.34,0.34,0.35,0.37,0.37,0.41,0.43,0.46,0.5,0.52,0.58,0.63,0.65,0.7,0.72,0.79,0.83,0.87,0.87,0.87,0.9,0.95,0.9,0.9,0.95,0.95,0.9,0.95,0.95,0.87,0.83,0.79,0.74,0.7,0.65,0.61,0.57,1
0.54,0.5,0.49,0.46,0.44,0.42,0.4,0.39,0.38,0.37,0.36,0.36,0.34,0.34,0.34,0.33,0.33,0.34,0.36,0.36,0.39,0.41,0.44,0.48,0.5,0.55,0.6,0.62,0.66,0.68,0.75,0.79,0.82,0.82,0.82,0.86,0.9,0.86,0.86,0.9,0.9,0.86,0.9,0.9,0.82,0.79,0.75,0.7,0.66,0.62,0.58,0.54,1
0.51,0.47,0.46,0.43,0.43,0.4,0.38,0.38,0.36,0.36,0.34,0.34,0.33,0.33,0.33,0.31,0.31,0.33,0.34,0.34,0.38,0.4,0.43,0.46,0.47,0.53,0.57,0.59,0.63,0.65,0.71,0.75,0.78,0.78,0.78,0.81,0.85,0.81,0.81,0.85,0.85,0.81,0.85,0.85,0.78,0.75,0.71,0.66,0.63,0.59,0.55,0.52,1
0.48,0.45,0.44,0.41,0.41,0.38,0.36,0.36,0.35,0.34,0.33,0.33,0.31,0.31,0.31,0.29,0.29,0.31,0.33,0.33,0.36,0.38,0.41,0.44,0.45,0.5,0.54,0.55,0.6,0.61,0.66,0.71,0.73,0.73,0.73,0.76,0.79,0.76,0.76,0.79,0.79,0.76,0.79,0.79,0.73,0.71,0.66,0.63,0.6,0.55,0.53,0.49,1
0.46,0.43,0.42,0.39,0.39,0.37,0.35,0.35,0.33,0.33,0.3,0.3,0.28,0.28,0.28,0.26,0.26,0.28,0.3,0.3,0.35,0.36,0.39,0.42,0.43,0.47,0.51,0.52,0.56,0.58,0.62,0.66,0.69,0.69,0.69,0.71,0.74,0.71,0.71,0.74,0.74,0.71,0.74,0.74,0.69,0.66,0.62,0.59,0.56,0.52,0.5,0.46,1
0.43,0.4,0.4,0.37,0.37,0.35,0.33,0.33,0.3,0.3,0.28,0.28,0.26,0.26,0.26,0.24,0.24,0.26,0.28,0.28,0.33,0.35,0.37,0.39,0.4,0.44,0.48,0.49,0.53,0.54,0.58,0.62,0.64,0.64,0.64,0.66,0.69,0.66,0.66,0.69,0.69,0.66,0.69,0.69,0.64,0.62,0.58,0.55,0.53,0.49,0.47,0.44,1
0.41,0.38,0.37,0.35,0.35,0.33,0.3,0.3,0.27,0.28,0.25,0.25,0.24,0.24,0.24,0.22,0.22,0.24,0.25,0.25,0.3,0.33,0.35,0.37,0.38,0.41,0.45,0.46,0.5,0.51,0.54,0.58,0.6,0.6,0.6,0.62,0.64,0.62,0.62,0.64,0.64,0.62,0.64,0.64,0.6,0.58,0.54,0.52,0.5,0.46,0.44,0.41,1
0.38,0.35,0.35,0.33,0.33,0.3,0.27,0.27,0.25,0.25,0.23,0.23,0.21,0.21,0.21,0.2,0.2,0.21,0.23,0.23,0.27,0.3,0.33,0.35,0.35,0.39,0.42,0.43,0.46,0.47,0.5,0.54,0.55,0.55,0.55,0.57,0.59,0.57,0.57,0.59,0.59,0.57,0.59,0.59,0.55,0.54,0.5,0.48,0.46,0.43,0.41,0.38,1
0.36,0.33,0.33,0.29,0.29,0.26,0.24,0.24,0.22,0.22,0.2,0.2,0.19,0.19,0.19,0.18,0.18,0.19,0.2,0.2,0.24,0.26,0.29,0.33,0.33,0.36,0.39,0.39,0.43,0.44,0.46,0.5,0.51,0.51,0.51,0.52,0.54,0.52,0.52,0.54,0.54,0.52,0.54,0.54,0.51,0.5,0.46,0.44,0.43,0.39,0.39,0.36,1
0.33,0.29,0.29,0.26,0.26,0.23,0.21,0.21,0.19,0.19,0.18,0.18,0.16,0.16,0.16,0.15,0.15,0.16,0.18,0.18,0.21,0.23,0.26,0.29,0.29,0.33,0.36,0.36,0.4,0.4,0.41,0.46,0.46,0.46,0.46,0.47,0.48,0.47,0.47,0.48,0.48,0.47,0.48,0.48,0.46,0.46,0.41,0.4,0.4,0.36,0.36,0.33,1
0.28,0.25,0.25,0.22,0.22,0.2,0.18,0.18,0.16,0.16,0.15,0.15,0.14,0.14,0.14,0.13,0.13,0.14,0.15,0.15,0.18,0.2,0.22,0.25,0.25,0.28,0.33,0.33,0.36,0.37,0.37,0.41,0.42,0.42,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.41,0.37,0.37,0.36,0.33,0.33,0.28,1
0.24,0.21,0.21,0.18,0.18,0.16,0.15,0.15,0.14,0.14,0.13,0.13,0.12,0.12,0.12,0.11,0.11,0.12,0.13,0.13,0.15,0.16,0.18,0.21,0.21,0.24,0.28,0.28,0.33,0.33,0.33,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.37,0.33,0.33,0.33,0.28,0.28,0.24,1
0.19,0.16,0.16,0.15,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.12,0.13,0.15,0.16,0.16,0.19,0.22,0.22,0.26,0.26,0.26,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.26,0.26,0.26,0.22,0.22,0.19,1
0.14,0.12,0.12,0.11,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.1,0.11,0.12,0.12,0.14,0.16,0.16,0.2,0.2,0.2,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2,0.2,0.2,0.16,0.16,0.14,1
0.09,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08,0.09,0.11,0.11,0.13,0.13,0.13,0.16,0.16,0.16,0.16,0.17,0.16,0.17,0.17,0.16,0.16,0.17,0.16,0.16,0.16,0.16,0.13,0.13,0.13,0.11,0.11,0.09,1
0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.05,0.05,0.05,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
