week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,const
3.82,3.77,3.72,3.66,3.6,3.46,3.38,3.29,3.19,3.08,2.95,2.8,2.71,2.62,2.6,2.5,2.5,2.6,2.8,2.95,3.29,3.46,3.6,3.72,3.77,3.86,3.9,3.94,3.97,3.97,4.01,4.04,4.04,4.04,4.04,4.04,4.07,4.04,4.04,4.07,4.07,4.04,4.07,4.07,4.04,4.04,4.01,3.97,3.97,3.94,3.9,3.86,1
3.73,3.68,3.62,3.57,3.5,3.35,3.26,3.17,3.06,2.94,2.8,2.72,2.63,2.53,2.5,2.4,2.4,2.5,2.71,2.8,3.17,3.35,3.5,3.62,3.68,3.78,3.82,3.86,3.9,3.9,3.94,3.97,3.97,3.97,3.97,3.97,4.0,3.97,3.97,4.0,4.0,3.97,4.0,4.0,3.97,3.97,3.94,3.9,3.9,3.86,3.82,3.78,1
3.65,3.59,3.53,3.47,3.4,3.24,3.15,3.04,2.93,2.8,2.72,2.64,2.54,2.44,2.4,2.3,2.3,2.4,2.63,2.72,3.04,3.24,3.4,3.53,3.59,3.7,3.74,3.79,3.83,3.83,3.86,3.9,3.9,3.9,3.9,3.9,3.93,3.9,3.9,3.93,3.93,3.9,3.93,3.93,3.9,3.9,3.86,3.83,3.83,3.79,3.74,3.7,1
3.56,3.5,3.44,3.37,3.3,3.13,3.03,2.92,2.8,2.73,2.65,2.55,2.46,2.35,2.3,2.2,2.2,2.3,2.54,2.65,2.92,3.13,3.3,3.44,3.5,3.61,3.66,3.71,3.75,3.75,3.79,3.83,3.83,3.83,3.83,3.83,3.87,3.83,3.83,3.87,3.87,3.83,3.87,3.87,3.83,3.83,3.79,3.75,3.75,3.71,3.66,3.61,1
3.48,3.42,3.35,3.28,3.2,3.02,2.92,2.8,2.73,2.66,2.57,2.47,2.37,2.26,2.2,2.1,2.1,2.2,2.46,2.57,2.8,3.02,3.2,3.35,3.42,3.53,3.59,3.63,3.68,3.68,3.72,3.76,3.76,3.76,3.76,3.76,3.8,3.76,3.76,3.8,3.8,3.76,3.8,3.8,3.76,3.76,3.72,3.68,3.68,3.63,3.59,3.53,1
3.39,3.33,3.26,3.18,3.1,2.91,2.8,2.74,2.67,2.58,2.5,2.39,2.29,2.17,2.1,2.0,2.0,2.1,2.37,2.5,2.73,2.91,3.1,3.26,3.33,3.45,3.51,3.56,3.61,3.61,3.65,3.69,3.69,3.69,3.69,3.69,3.73,3.69,3.69,3.73,3.73,3.69,3.73,3.73,3.69,3.69,3.65,3.61,3.61,3.56,3.51,3.45,1
3.31,3.24,3.17,3.09,3.0,2.8,2.74,2.68,2.6,2.51,2.42,2.31,2.2,2.08,2.0,1.9,1.9,2.0,2.29,2.42,2.67,2.8,3.0,3.17,3.24,3.37,3.43,3.48,3.53,3.53,3.58,3.62,3.62,3.62,3.62,3.62,3.67,3.62,3.62,3.67,3.67,3.62,3.67,3.67,3.62,3.62,3.58,3.53,3.53,3.48,3.43,3.37,1
3.22,3.15,3.08,2.99,2.9,2.74,2.68,2.61,2.53,2.44,2.35,2.23,2.11,1.99,1.9,1.8,1.8,1.9,2.2,2.35,2.6,2.74,2.9,3.08,3.15,3.29,3.35,3.41,3.46,3.46,3.51,3.56,3.56,3.56,3.56,3.56,3.6,3.56,3.56,3.6,3.6,3.56,3.6,3.6,3.56,3.56,3.51,3.46,3.46,3.41,3.35,3.29,1
3.14,3.06,2.98,2.9,2.8,2.69,2.62,2.55,2.47,2.37,2.28,2.15,2.03,1.9,1.8,1.7,1.7,1.8,2.11,2.28,2.53,2.68,2.8,2.98,3.06,3.21,3.27,3.33,3.39,3.39,3.44,3.49,3.49,3.49,3.49,3.49,3.53,3.49,3.49,3.53,3.53,3.49,3.53,3.53,3.49,3.49,3.44,3.39,3.39,3.33,3.27,3.21,1
3.05,2.98,2.89,2.8,2.75,2.63,2.56,2.49,2.4,2.3,2.2,2.06,1.94,1.81,1.7,1.6,1.6,1.7,2.03,2.2,2.47,2.62,2.75,2.89,2.98,3.13,3.19,3.26,3.31,3.31,3.37,3.42,3.42,3.42,3.42,3.42,3.47,3.42,3.42,3.47,3.47,3.42,3.47,3.47,3.42,3.42,3.37,3.31,3.31,3.26,3.19,3.13,1
